Rc,审核结果,上一年归母净利润（万元）,承诺期业绩增长率,前三年承诺覆盖率,静态市盈率,动态市盈率,成立年限,大股东持股比例,最近一个完整会计年度对第一大客户的销售占比,最近一个完整会计年度对第一供应商的采购占比,注入资产净资产账面值(万元),D/(D+E),总资产增长率,归母权益增长率,净利润增长率,总资产周转率,存货周转率,应收账款周转率,固定资产周转率,流动比率,资产负债率,经营杠杆（EBITDA/EBIT),（固定资产+土地）/归母权益,在建工程/归母权益,净资产收益率,毛利率,经营性现金流/收入,研发支出占比
0.05,发行股份购买资产获无条件通过,842,0.55,0.27,34.39,14.13,5.91,0.34,0.2,0,1345.83,0,2.3,1.67,1.77,1.53,16.65,4.56,30.44,3.47,0.28,1.03,0.05,0,0.91,0.9,0.15,0.23
0.045,发行股份购买资产获无条件通过,43743,0.27,0.31,2.5,12.86,4.62,0.3,0.16,0.11,9082.48,0,1.03,0.73,14.95,2.05,0,5.28,669.57,3.31,0.27,1.12,0,0,5.37,0.32,0.26,0.01
0.035,发行股份购买资产获有条件通过,5344,0.27,0.3,16.43,13.5,3.83,0.44,0.42,0.06,9039.18,0,1.08,1.38,6.09,2.1,0,8.87,436.3,5.04,0.19,1.03,0.01,0,0.82,0.43,0.23,0.01
0.04,发行股份购买资产获无条件通过,18047,0.29,0.27,18.85,14.29,7.66,0.22,0.24,0.18,81575,0.02,0.45,0.68,0.3,0.97,16.28,2.25,7.21,2.56,0.34,1.11,0.17,0,0.28,0.31,0.25,0.04
0.03,发行股份购买资产获无条件通过,2745,0.38,0.21,29.2,19.55,10.36,0.3,0.18,0.14,14367.79,0.04,0.31,0.21,0.42,0.4,7.64,-88.65,7.13,1.2,0.43,1.06,0.18,0.28,0.21,0.59,0.17,0.1
0.02,发行股份购买资产获无条件通过,5105,0.13,0.28,14.93,11.37,12.39,1,0.41,0.27,3770.83,0.01,0.02,3.83,2.54,1.17,14.29,1.78,251.79,1.07,0.92,1.02,0.05,0.02,4.19,0.01,0.09,0.03
0.02,发行股份购买资产获无条件通过,15980,0.17,0.33,12.58,11.17,7.93,0.7,0.72,0.14,25968.42,0.02,0.23,1.04,0.28,0.59,2.23,2.08,222.35,1.25,0.79,1.04,0.01,0,0.61,0.32,0.14,0.01
0.02,发行股份购买资产获有条件通过,13224,0.31,0.39,17.04,9.55,6.93,0.67,0.44,0.36,88695.49,0.05,0,0.18,0.27,0.65,2,6.08,231.12,1.69,0.58,1.01,0.01,0,0.16,0.15,-0.09,0
0.035,发行股份购买资产获无条件通过,3255,0.4,0.32,21.81,11.83,6.38,0.41,0.33,0.43,27734.57,0.16,1.96,1.36,2.02,1.32,16.55,4.15,750.43,1.31,0.54,1.02,0,0,0.15,0.16,-0.38,0
0.022,发行股份购买资产获无条件通过,6602,0.19,0.23,18.95,16.68,37.59,0.5,0.24,0.06,22374.13,0.17,0.03,0.44,0.37,1.11,4.26,4.75,3.72,0.84,0.74,1.35,1.35,0,0.36,0.25,0.05,0.02
0.015,发行股份购买资产获有条件通过,58585,0.14,0.31,13.33,10.61,14.88,0.48,0.02,0.05,246789.43,0.09,0.1,0.04,0.04,0.65,6.9,3.3,1.8,1.35,0.51,1.24,0.82,0.05,0.19,0.35,0.16,0.04
0.03,发行股份购买资产获无条件通过,2162,0.26,0.32,16,11.53,12.13,0.27,0.27,0.54,7731.41,0.24,0.48,0.41,0.87,2.55,10.66,4.4,21.88,1.99,0.46,1.08,0.17,0,0.35,0.22,0,0.01
0.02,发行股份购买资产获有条件通过,2670,0.22,0.24,18.76,15.72,6.62,0.3,0.21,0.09,8882.43,0.35,0.23,0.54,0.66,0.7,6.18,1.89,2.21,1.34,0.66,1.18,0.98,0,0.35,0.43,0.06,0.06
0.03,发行股份购买资产获有条件通过,6396,0.07,0.26,12.65,12.4,4.62,0.99,0.13,0.11,5511.45,0,0.53,-0.19,0.82,0.93,2.14,-4.67,228.92,1.1,0.86,1.02,0.79,0,1.04,0.38,0.4,0.04
0.01,发行股份购买资产获有条件通过,94597,0.25,0.22,21.92,18.07,6.1,0.93,0.38,0.08,272757.23,0.01,0.23,-0.07,-0.2,1.04,8.29,2.71,4.41,1.23,0.54,1.16,0.64,0.01,0.36,0.31,0.05,0.04
0.02,发行股份购买资产获无条件通过,3582,0.15,0.17,20.95,23.46,6.16,0.5,0.74,0.12,13127.96,0.05,0.52,1.76,1.56,1.15,6.51,2.58,8.19,1.23,0.7,1.32,0.45,0,0.38,0.17,1.06,0.01
0.02,发行股份购买资产获无条件通过,2006,0.5,0.25,32.45,15.5,21.52,0.44,0.23,0.23,23676.94,0.09,0.17,0.09,-0.29,0.61,16.54,2,3.18,1.58,0.5,1.79,0.32,0.48,0.09,0.29,-0.1,0.04
0.01,发行股份购买资产获无条件通过,4604,0.25,0.29,16.68,12.8,14.77,45.5,0.33,0.47,15122.29,0.1,0.41,0.39,1.78,3.03,0,5.19,435.7,2.31,0.43,1,0.02,0,0.5,0.16,0,0
0.03,发行股份购买资产获无条件通过,11023,0.25,0.22,22.41,17.62,17.3,0.41,0.04,0.25,133403.36,0,0.49,0.53,0.5,0.59,0,2.11,44.75,1.97,0.29,1.32,0.02,0,0.16,0.37,-0.19,0
0.02,发行股份购买资产获无条件通过,1302,0.79,0.33,33.05,13.66,18.13,0.45,0,0,8616.53,0.05,0.12,0.26,0.62,0.48,1.96,1.24,2.54,2.51,0.33,1.12,0.36,0,0.23,0.71,0.12,0.13
0.015,发行股份购买资产获无条件通过,6276,0.37,0.24,26.3,17.19,12.57,44.03,0.2,0.16,55127.87,0.07,0.27,0.31,0.35,0.62,19.36,1.35,3.15,2.89,0.25,1.07,0.23,0.1,0.18,0.44,0.16,0.04
0.01,发行股份购买资产获有条件通过,7418,0.23,0.27,16.32,15.47,27.86,0.51,0.19,0.07,62436.15,0,-0.01,0.08,-0.06,0.53,2.4,6.05,4.7,1.7,0.53,1.22,0.27,0,0.12,0.4,0.27,0.03
0.035,发行股份购买资产获无条件通过,1993,0.32,0.27,20.78,14.79,15.03,0.6,0.51,0.06,2831.17,0,-0.15,0.2,0.74,1.9,1502.2,5.92,205.78,6.66,0.13,1.04,0.01,0,0.68,0.45,0.22,0.06
0.025,发行股份购买资产获有条件通过,2383,0.92,0.24,62.11,29.6,13.41,0.77,0.38,0.3,119183.63,0.14,0.58,0.44,6.22,0.34,9.09,2.27,0.63,0.59,0.79,1.32,2.37,1.13,0.35,0.51,0.14,0.04
0.005,发行股份购买资产获无条件通过,2700,0.86,0.17,92.56,23.42,7.31,0.58,0.51,0.3,187368.88,0,0.11,0.01,3.73,0.06,571.3,1.46,0.12,1.79,0.72,2.2,2.29,0,0.01,0.43,0.5,0
0.03,发行股份购买资产获无条件通过,416,1.58,0.42,72.8,13.77,5.15,0.47,0.52,0.08,2465.73,0,2.53,2.58,3.04,1.02,1.94,12.24,435.25,1.22,0.81,1,0.01,0,0.65,0.39,-0.16,0.13
0.015,发行股份购买资产获无条件通过,2405,0.17,0.25,16.67,14.32,10.42,0.27,0.31,0.22,13563.56,0.15,0.06,0.07,-0.06,1.69,8.21,3.72,8.96,4.49,0.18,1.25,0.23,0,0.15,0.2,-0.01,0.03
