Rc,审核结果,上一年归母净利润（万元）,承诺期业绩增长率,前三年承诺覆盖率,静态市盈率,动态市盈率,成立年限,大股东持股比例,最近一个完整会计年度对第一大客户的销售占比,最近一个完整会计年度对第一供应商的采购占比,注入资产净资产账面值(万元),D/(D+E),总资产增长率,归母权益增长率,净利润增长率,总资产周转率,存货周转率,应收账款周转率,固定资产周转率,流动比率,资产负债率,经营杠杆（EBITDA/EBIT),（固定资产+土地）/归母权益,在建工程/归母权益,净资产收益率,毛利率,经营性现金流/收入,研发支出占比
0.0294,发行股份购买资产获有条件通过,7432,0.1,0.3,12.26,11.39,21.95,0.21,0.25,0.11,13141.66,0,-0.73,-0.84,0.39,0.3,6.21,4.81,2.65,0.98,0.72,1.04,1.04,0,0.27,0.49,0.32,0.01
0.01,发行股份购买资产获无条件通过,4244,0.33,0.18,30.63,16.25,13.37,0.82,0.11,0.29,21485.87,0,0.7,0.5,0.05,0.72,6.06,1.82,6.65,1.31,0.55,1.1,0.19,0.17,0.2,0.44,0.12,0.11
0.035,发行股份购买资产获无条件通过,1721,0.89,0.26,63.15,14.89,10.46,0.58,0.15,0.13,6543.53,0,0.51,0.78,2.33,1.01,0,12.51,122.86,5.04,0.22,1.32,0.01,0,0.13,0.64,0.3,0.12
0.025,发行股份购买资产获有条件通过,10786,0.14,0.42,9.27,8.34,18.46,1,0.83,0.25,66217.2,0.03,0.33,0.25,1.44,1.56,4.68,4.13,12.23,1.75,0.44,1.1,0.38,0,0.22,0.16,0.05,0
0.01,发行股份购买资产获有条件通过,-515,0.28,0.3,13,13,15.02,0.48,0.49,0.27,6101,0.16,-0.19,0.38,0,0.77,5.1,3.71,3.2,0.97,0.82,2.33,1.08,0,-0.12,0.18,0.14,0.03
0.025,发行股份购买资产获无条件通过,3333,0.43,0.26,27.03,14.3,6.76,0.99,0.55,0.17,8269.78,0,0.35,0.4,-0.02,1.16,0,7.11,205.33,2.26,0.45,1.01,0.01,0,0.42,0.38,0.25,0.03
0.03,发行股份购买资产获有条件通过,10706,0.14,0.29,12.66,12.94,5.19,0.41,0.26,0.28,8279.42,0,0.06,0.55,0.76,2.66,0,4.03,183.95,7.63,0.13,1.01,0.02,0,1.4,0.51,0.25,0.09
0.01,发行股份购买资产获无条件通过,1091,1.57,0.23,188.54,15.82,11.94,0.39,0.2,0.25,17784.57,0,9.75,7.91,2.53,1,528.42,37.32,84.37,1.62,0.58,1.04,0.02,0,0.51,0.72,0.35,0.19
0.02,发行股份购买资产获无条件通过,626,0.78,0.3,42.01,14.56,15.33,0.26,0.22,0.17,4159.35,0,0.57,1.05,2.44,0.82,5.39,2.43,11.86,2.78,0.33,1.16,0.08,0,0.2,0.52,0.02,0.08
0.01,发行股份购买资产获无条件通过,2828,0.28,0.17,29.72,22.12,9.18,0.49,0.32,0.33,18420.81,0.01,1.53,1.76,0.5,0.86,0,2.43,239.73,5,0.18,1.02,0,0,0.22,0.51,0.19,0.2
0.025,发行股份购买资产获无条件通过,5703,0.06,0.24,12.74,15.14,20.59,0.28,0,0.45,13589.2,0,0.28,1.05,0.42,0.9,3.9,2.86,5.79,3.79,0.22,1.03,0.23,0,0.69,0.6,0.38,0.05
0.03,发行股份购买资产获无条件通过,1286,0.54,0.25,36.58,15.42,13.53,0.3,0.28,0.55,5082.38,0,0.53,-0.2,1.22,0.86,10.87,2.71,48.9,1.92,0.51,1.02,0.02,0,0.41,0.63,0.1,0.1
0.025,发行股份购买资产获无条件通过,582,0.45,0.25,30.31,15.34,12.18,0.9,0.54,0,2360.96,0,1.39,0.86,0.02,0.96,26.34,2.93,20.67,1.62,0.57,1.01,0.11,0,0.6,0.51,0.05,0.04
0.01,发行股份购买资产获有条件通过,6651,0.27,0.26,18.66,16.69,23.23,0.58,0.13,0.1,32395.6,0.07,0.3,0.57,0.53,1.16,5.83,4.96,6.67,1.21,0.63,1.28,0.51,0.01,0.29,0.23,0.08,0.03
0.03,发行股份购买资产获有条件通过,-19364,0.15,0.22,15.7,15.7,6.45,0.3,0.01,0.68,26681.47,0.19,2.7,1.48,1.48,4.52,1329.11,-47.51,49.2,0.7,1.04,1.56,0,0,-5.77,0.08,0.07,0.01
0.02,发行股份购买资产获有条件通过,38467,0.17,0.23,18.02,15.44,21.3,0.6,0.07,0.06,379786.06,0.22,0.19,0.71,0.17,1.5,12.31,3.41,54.45,1.35,0.65,1.07,0.1,0.03,0.12,0.09,0.02,0
0.02,发行股份购买资产获无条件通过,321,1.65,0.22,208.34,19.11,10.85,0.62,0.2,0.12,7171.1,0.07,0.02,1.58,3.63,0.42,9.46,2.72,1.08,2.26,0.35,1.78,0.55,0,0.09,0.33,0.2,0.08
0.03,发行股份购买资产获有条件通过,1294,0.91,0.23,70.63,18.28,13.83,0.24,0.16,0.11,26670.56,0.13,0.17,0.07,-0.67,1.07,4.95,2.1,6.83,1.03,0.75,2.43,0.69,0.04,0.06,0.15,0.03,0.02
0.04,发行股份购买资产获有条件通过,3832,0.43,0.36,20.89,5.68,14.24,0.32,0.13,0.11,40754.82,0.05,0.09,0.18,7.69,0.35,1.01,1.82,22.97,1.49,0.75,1.06,0.06,0,0.12,0.26,-0.02,0.01
0.02,发行股份购买资产获无条件通过,8103,0.13,0.27,16.84,11.14,15.9,0.6,0.16,0.3,17528.32,0.13,-0.06,0.12,0.22,1.33,5.89,30.8,97.43,1.54,0.61,1,0.04,0,0.43,0.31,0,0.11
0.02,发行股份购买资产获无条件通过,6778,0.06,0.25,14.78,12.17,14.18,0.52,0.06,0.23,11311.83,0.13,0.19,0.39,1.22,1.28,7.99,11.36,59.47,2.84,0.33,1,0.02,0,0.55,0.52,0,0.13
0.028,发行股份购买资产获无条件通过,1092,0.82,0.29,48.72,13.95,11.04,0.22,0.42,0.34,15224.95,0.18,0.19,0.83,2.49,1.18,4,7.73,3.61,1.03,0.6,1.36,0.9,0.02,0.11,0.11,-0.15,0.01
0.015,发行股份购买资产获无条件通过,867,0.28,0.24,21.68,8.4,8.02,0.34,0.18,0.42,3449.59,0,0.31,0.33,0.15,0.79,0,1.26,69.05,3.72,0.26,1.02,0.01,0,0.29,0.61,0.2,0.06
0.045,发行股份购买资产获无条件通过,20609,0.37,0.38,16.51,10.31,13.42,0.3,0.32,0.07,39567.05,0.06,0.67,1.09,3.8,1.44,7.01,5.17,3.67,1.1,0.57,1.14,0.87,0,0.7,0.33,0.1,0.05
0.05,发行股份购买资产获有条件通过,9286,0.51,0.3,23.49,19.83,10.06,0.51,0.25,0.19,27171.05,0.46,0.12,1.15,1.37,2.11,820.97,5.12,6898.07,1.03,0.97,1.01,0.01,0,0.56,0.02,0.02,0
0.015,发行股份购买资产获无条件通过,7295,0.09,0.28,11.95,13.41,14.16,0.79,0.32,0.08,14478.52,0,-0.17,-0.25,-0.03,1.53,12.88,7.7,4.05,1.1,0.4,1.27,0.83,0.02,0.43,0.34,0.24,0.04
0.015,发行股份购买资产获有条件通过,4813,0.39,0.26,25.59,13.89,23.44,1,0.37,0.03,31250.42,0.07,0.16,0.01,-0.02,1.34,14.92,4.01,26.8,1.28,0.73,1.31,0.23,0,0.15,0.14,-0.07,0.04
0.02,发行股份购买资产获有条件通过,2231,0.11,0.35,11.1,9.24,15.15,0.55,0.44,0,9917.37,0.1,0.41,0.24,0.41,1.82,15.87,3.94,159.24,2.59,0.38,1.03,0.01,0,0.25,0.21,-0.02,0.04
0.03,发行股份购买资产获无条件通过,5273,0.67,0.27,42.7,14.25,6.07,0.28,0.5,0.2,51155.96,0,0.41,0.22,0.29,0.39,0,7.34,0.62,0.78,0.62,2.33,1.43,0,0.11,0.31,0.38,0
0.03,发行股份购买资产获无条件通过,1185,1.3,0.28,114.94,12.97,4.46,0.6,0.27,0.15,5495.69,0,0.82,16.93,10.05,0.99,1.83,-5.05,25.56,1.12,0.84,1.02,0.34,0,1.15,0.32,0.2,0.12
0.01,发行股份购买资产获无条件通过,5448,0.2,0.19,21.3,23.21,12.84,0.88,0.38,0.22,19243.37,0,0.58,0.78,0.49,0.81,5.19,1.88,32.89,5.68,0.17,1.03,0.04,0,0.36,0.6,0.09,0.1
0.01,发行股份购买资产获无条件通过,4460,0.28,0.19,23.62,30.1,13.82,0.95,0.91,0.27,5528.79,0,-0.15,4.18,5.91,0.72,9.61,-5.39,4.07,1.13,0.68,1.05,0.71,0,1.35,0.53,0.13,0.01
0.022,发行股份购买资产获无条件通过,6745,0.21,0.27,16.77,12.56,13.09,0.93,0.08,0.1,38648.54,0.19,0.05,0.18,-0.14,0.94,3.76,2.09,6.66,1.76,0.48,1.09,0.26,0,0.21,0.29,0.09,0.02
0.01,发行股份购买资产获无条件通过,1714,0.53,0.2,45.2,18.02,16.21,0.25,0.24,0.13,11533.87,0.03,0.02,-0.35,0.47,0.36,1.64,1,2.71,1.69,0.48,1.1,0.37,0,0.14,0.59,0.07,0.1
0.02,发行股份购买资产获无条件通过,2454,0.37,0.36,18.61,10.56,15.43,0.22,0.04,0.2,9687.86,0.02,0.25,0.32,0.42,0.79,54.88,1.3,21.18,3.28,0.29,1.07,0.05,0,0.27,0.59,0.3,0.14
0.03,发行股份购买资产获无条件通过,7568,0.4,0.28,23.67,13.37,7.33,0.44,0.22,0.89,15902.24,0.19,0.32,0.29,0.05,2.41,10.22,28.63,1396.68,1.2,0.83,1.02,0.01,0,0.54,0.14,0.17,0
0.0194,发行股份购买资产获有条件通过,13351,0.22,0.29,16.14,12.76,13.84,1,0.19,0.11,55732.5,0.06,0.2,0.06,0.1,0.86,7.46,2.86,4.91,1.42,0.51,1.21,0.4,0.1,0.24,0.31,0.22,0.05
0.03,发行股份购买资产获无条件通过,4147,0.32,0.23,24.95,15.92,16.16,0.38,0.25,0.19,21931.15,0.06,0.17,0.12,1.57,0.67,3.03,3.21,2.07,1.89,0.46,1.25,0.62,0,0.23,0.36,0.1,0.07
